date,btc,eth
2020-05-26,162445913210.84167,22314236110.47335
2020-05-27,168593394454.69797,23054442573.739307
2020-05-28,175941484285.82523,24377420748.07392
2020-05-29,173450984634.7825,24536687659.563847
2020-05-30,178228052044.65002,27072481305.853333
2020-05-31,173497171389.70322,25727611146.412975
2020-06-01,187578142707.61478,27690866057.44388
2020-06-02,174954690421.54974,26371655363.982548
2020-06-03,177352731439.34332,27125980068.894104
2020-06-04,180508843644.39648,27097433830.209576
2020-06-05,177365595706.9578,26729853920.715485
2020-06-06,177870046318.4762,26922981130.210777
2020-06-07,179331395772.25357,27189398546.255074
2020-06-08,179741658882.79865,27368926535.451946
2020-06-09,179936892008.73267,27189553095.85052
2020-06-10,181952982732.76926,27568884901.47907
2020-06-11,170721091857.55527,25702177728.215214
2020-06-12,174019304039.34656,26402014078.510563
2020-06-13,174123830972.77356,26508567845.762653
2020-06-14,171955158128.0987,25848929526.937183
2020-06-15,173774840415.62903,25747471930.102787
2020-06-16,175232451346.34097,26189299288.675434
2020-06-17,173926399830.38492,26031090456.442287
2020-06-18,172853049353.4523,25771716738.8185
2020-06-19,170946908488.14093,25490449737.957306
2020-06-20,172267506962.9833,25509347515.66007
2020-06-21,170940831096.1998,25363050533.111645
2020-06-22,178311094487.316,27109581716.750187
2020-06-23,176978474354.71844,27079509865.17106
2020-06-24,171116880435.06366,26180061369.118805
2020-06-25,170281277784.0368,25915394279.94472
2020-06-26,168676013923.73868,25614425361.386284
2020-06-27,165787526267.54556,24614343963.776066
2020-06-28,167746363406.58917,25034993920.44724
2020-06-29,169157750925.37515,25437055978.84172
2020-06-30,168424268927.21072,25183841813.709938
2020-07-01,170227137442.6157,25792038110.110706
2020-07-02,167529570926.75986,25299190857.401157
2020-07-03,167028603057.3506,25123416136.05985
2020-07-04,168134212097.31125,25546997596.957157
2020-07-05,167284838602.93985,25416258980.710514
2020-07-06,172071754943.9324,26927972853.36435
2020-07-07,170482056186.43045,26689447482.563076
2020-07-08,173852067499.54385,27567241571.1469
2020-07-09,170119612182.24487,26990662346.436626
2020-07-10,171118891700.69153,26924876120.168304
2020-07-11,170242376319.11676,26735288582.569897
2020-07-12,171208222386.19006,26962311536.63741
2020-07-13,170249528195.09436,26743992425.653614
2020-07-14,170695336818.95126,26893914229.044556
2020-07-15,169530356543.2783,26644882052.35034
2020-07-16,168355901495.54816,26107970752.128174
2020-07-17,168802806794.04153,26032399059.771187
2020-07-18,169168582934.48605,26378254394.846992
2020-07-19,169967724887.16434,26767061818.921368
2020-07-20,169023500679.14856,26435139785.618675
2020-07-21,173112681691.1186,27432666168.36871
2020-07-22,175752143889.948,29555758887.696392
2020-07-23,177196924217.30652,30792866273.720684
2020-07-24,176080450187.27267,31320722610.566654
2020-07-25,178935530196.2443,34177582482.03387
2020-07-26,183213878780.36783,34812771346.532646
2020-07-27,203744198144.59204,36181952861.89258
2020-07-28,201874736728.9706,35602169877.13608
2020-07-29,205042054834.9217,35607672741.755
2020-07-30,205413351537.44217,37620638891.91242
2020-07-31,209165345431.3837,38769324646.44138
2020-08-01,217650107985.90485,43366955915.68128
2020-08-02,204680087352.34372,41691372173.24519
2020-08-03,207312688746.4309,43187296587.70036
2020-08-04,206705783553.83926,43772364123.66642
2020-08-05,216287626623.5641,44891355573.78335
2020-08-06,217182425567.12646,44156591358.494415
2020-08-07,214050110955.4352,42630189303.433235
2020-08-08,216718673196.2909,43983933679.79014
2020-08-09,215576777624.0283,43633107486.708786
2020-08-10,219090872112.69235,44336365679.60971
2020-08-11,210284480461.03638,42514230903.732475
2020-08-12,213671208433.45825,43427532505.38049
2020-08-13,217335699187.2392,47649376741.71351
2020-08-14,217365712666.77783,49144669695.50733
2020-08-15,219084951477.1745,48537169375.48736
2020-08-16,219700556192.07544,48580086006.43733
2020-08-17,227392906120.48355,48574926932.84639
2020-08-18,221438441189.45932,47515172268.72815
2020-08-19,216724493356.5639,45672533761.5699
2020-08-20,219148207449.64774,46731165712.84255
2020-08-21,212828757688.56958,43478608746.690445
2020-08-22,215748935172.86255,44457618324.740654
2020-08-23,215452337487.7431,44017778355.39701
2020-08-24,217417299095.42206,45915066246.168365
2020-08-25,209799151719.143,43091225867.22749
2020-08-26,211907514133.8888,43404201326.91915
2020-08-27,209009655884.56293,42960602783.62168
2020-08-28,212959896208.12213,44391895465.650604
2020-08-29,212284634016.18933,44996121010.337875
2020-08-30,216140533746.53055,48129499622.526794
2020-08-31,215770383728.23535,49022839168.05129
2020-09-01,221177235000.27524,54049626232.94758
2020-09-02,210917142600.07455,49610772982.301346
2020-09-03,189619829718.60858,43131280398.861595
2020-09-04,193517929900.993,43488229604.48574
2020-09-05,187182381369.08313,37278944501.743324
2020-09-06,189495704608.09775,39736730665.164696
2020-09-07,191624618868.97644,39694172820.955574
2020-09-08,186842946951.56564,37888484829.27637
2020-09-09,188968383425.9782,39619068728.76602
2020-09-10,191039959916.7766,41348916471.33338
2020-09-11,192017369942.6865,42095259300.93512
2020-09-12,192951979972.30695,43479345004.14432
2020-09-13,190846477252.03787,41168100878.044655
2020-09-14,197147876035.17258,42317036024.73273
2020-09-15,199315386280.44418,40986000227.876686
2020-09-16,202819584769.55255,41146947103.163666
2020-09-17,202239512659.74203,43869451052.19489
2020-09-18,201951566927.16638,43065296801.33963
2020-09-19,204803721045.65717,43406819674.85391
2020-09-20,201991869981.67358,41830036917.45872
2020-09-21,193385500705.58487,38594926759.750534
2020-09-22,194586236941.46976,38717574918.727295
2020-09-23,189295175073.38925,36139108531.71363
2020-09-24,198659587209.19556,39362832187.2295
2020-09-25,197645812953.46774,39657310393.418755
2020-09-26,198736273241.69925,39987598879.06345
2020-09-27,199057194328.15533,40163831868.403694
2020-09-28,198483977030.04514,40093894095.62001
2020-09-29,200598525114.73715,40577084095.88678
2020-09-30,199336157853.55048,40612933220.8085
2020-10-01,196277557842.57623,39758391695.70112
2020-10-02,195610887017.89536,39022839809.19753
2020-10-03,195354357355.87143,39123566090.84262
2020-10-04,197399052168.17538,39770015476.68895
2020-10-05,199389146257.06778,39870969678.65809
2020-10-06,196135347147.17117,38398034415.80732
2020-10-07,197456284574.17596,38521806016.49599
2020-10-08,201823517432.12747,39584167809.24169
2020-10-09,205009453844.92093,41364317572.627785
2020-10-10,209254297811.47684,41937985052.23245
2020-10-11,210660289442.90372,42266442521.06648
2020-10-12,213821025341.3694,43799633633.75232
2020-10-13,211732652073.08148,43112673009.42351
2020-10-14,211412571561.06912,42811014987.70333
2020-10-15,213006147807.5566,42666305749.000175
2020-10-16,209987678424.63257,41405061866.40551
2020-10-17,210439860963.43692,41638209280.28478
2020-10-18,212797199544.38446,42728924786.600204
2020-10-19,217551213059.64398,42908426781.3694
2020-10-20,220963353768.35657,41712644603.66991
2020-10-21,237996587309.02542,44390199440.91029
2020-10-22,240767851351.292,46879969296.35542
2020-10-23,239962077749.97925,46308986137.45922
2020-10-24,242946632969.98502,46645974148.02079
2020-10-25,241618117679.51013,46026201771.384094
2020-10-26,242349930927.4959,44590776701.90411
2020-10-27,253379717438.1369,45731920476.25424
2020-10-28,246251140475.4076,44023369567.53552
2020-10-29,249685959749.55634,43789226262.31334
2020-10-30,252068603711.57968,43433013309.68129
2020-10-31,255857310085.0028,43776670002.693985
2020-11-01,254564701609.4508,44800351864.458885
2020-11-02,251953637578.66876,43477115712.44632
2020-11-03,259403733547.65454,44014721133.11189
2020-11-04,261868434425.51367,45520820968.66389
2020-11-05,289263271222.87427,47248734782.82374
2020-11-06,289509996782.305,51724971109.45109
2020-11-07,275573226966.5251,49501206896.10002
2020-11-08,287332273623.7842,51615811182.773415
2020-11-09,284009875050.11597,50394519196.058
2020-11-10,284013859076.82196,51188864451.344406
2020-11-11,291666002991.4365,52636636662.81986
2020-11-12,302038563120.4417,52489887339.97212
2020-11-13,302799008120.85767,54050512182.31899
2020-11-14,298584647008.3884,52466731076.47759
2020-11-15,296462424309.67584,50974919025.30242
2020-11-16,310504166190.32697,52445588185.84203
2020-11-17,327937646387.3307,54771213441.08368
2020-11-18,330228752696.0765,54414177251.19375
2020-11-19,330503275790.7681,53474003939.27502
2020-11-20,346198155989.3956,57840602350.043
2020-11-21,347011959222.6888,62137690708.8558
2020-11-22,342878718720.17664,64163519384.31838
2020-11-23,340865435612.13654,68949701372.15712
2020-11-24,355296694015.8317,68658132503.91695
2020-11-25,347859153595.5024,64540440796.8795
2020-11-26,317545276569.07196,58885598655.96443
2020-11-27,317336964123.96155,58738522860.17094
2020-11-28,329299905495.8758,61448304280.81785
2020-11-29,337583882703.102,65324166330.1412
2020-11-30,364943559264.76215,69718300657.21927
2020-12-01,349301709105.5422,66860366299.23066
2020-12-02,356634805528.82,68081684465.36699
2020-12-03,361394948313.36755,70207575007.35744
2020-12-04,347725717595.1267,65056501295.34612
2020-12-05,354827495085.072,67649911267.466286
2020-12-06,359330296296.33527,68491760149.455605
2020-12-07,356115606012.0854,67313906276.9958
2020-12-08,340515325198.1123,63055933387.44696
2020-12-09,344870639715.8821,65326998043.8228
2020-12-10,339689620040.4412,63768589361.806465
2020-12-11,335377356184.36597,62073036501.57385
2020-12-12,349347444447.47363,64705025507.62378
2020-12-13,355731616571.5449,67214144913.30562
2020-12-14,358175636273.79315,66760845861.74811
2020-12-15,360900992195.4811,67056853880.90746
2020-12-16,396914973278.8657,72439629548.52419
2020-12-17,423279795671.9301,73197934506.29843
2020-12-18,428122220496.3029,74256894455.67291
2020-12-19,443154244629.2185,75143194316.2477
2020-12-20,437079507304.86615,72742604554.40088
2020-12-21,426117800653.2763,69787305850.64354
2020-12-22,441362670574.1378,72260081138.1073
2020-12-23,433031966997.9192,67064702189.12565
2020-12-24,440489071172.94824,69737739030.52827
2020-12-25,458376575230.92346,71335642041.27776
2020-12-26,492010402696.7509,72480396044.61078
2020-12-27,491157576017.431,78494378936.89458
2020-12-28,502492068165.23956,83297107162.16043
2020-12-29,506083309589.8401,83468527573.16443
2020-12-30,536099036611.89905,85676429224.82896
2020-12-31,539438485763.34326,84297000630.07755
2021-01-01,546120334521.1261,83381651193.43335
2021-01-02,595259096891.8091,88455317488.63011
2021-01-03,618623608665.4475,113006333889.70267
2021-01-04,591225447115.9058,117579118448.74037
2021-01-05,632363459585.743,125724108123.83229
2021-01-06,681302148777.4781,136901660529.5937
2021-01-07,729171021092.3743,139299256154.5368
2021-01-08,758210602558.8112,139277828932.97147
2021-01-09,750719944876.221,146954951912.88055
2021-01-10,712797906122.6934,144513203475.10123
2021-01-11,655929285013.3878,123682853355.12318
2021-01-12,627003122628.9136,118664002991.33595
2021-01-13,693697236158.0138,128855595818.1932
2021-01-14,726263096560.8241,138547152633.12802
2021-01-15,682862938504.5984,133424788845.05357
2021-01-16,672980587612.2975,140738946367.52002
2021-01-17,671014140602.7698,141960155405.68567
2021-01-18,680801989756.2803,143132315959.22983
2021-01-19,674433161169.6399,158460357575.7363
2021-01-20,660796011360.799,156391181643.77545
2021-01-21,577233663032.7885,129522802836.52095
2021-01-22,613796635287.0494,141280587718.20892
2021-01-23,596147845572.6093,140998781192.28946
2021-01-24,599522055193.0248,158685061825.71286
2021-01-25,603339325091.3531,151654004735.85922
2021-01-26,607483795108.3151,155818614849.2684
2021-01-27,565045318370.5283,142573130897.5619
2021-01-28,623747780660.8579,153557928475.56763
2021-01-29,635969224450.955,158341268100.99786
2021-01-30,639419076068.8511,157954411487.2035
2021-01-31,617258425467.5242,150815561451.54767
2021-02-01,624961266006.2303,156856948666.19046
2021-02-02,662710063272.541,174534674320.14227
2021-02-03,699649284857.6385,190056477126.18765
2021-02-04,691323581111.5704,184223563748.09048
2021-02-05,708423060288.5243,197084267481.00046
2021-02-06,732600102916.4373,192894884443.11926
2021-02-07,726330767434.7867,185164848137.88654
2021-02-08,858949072826.5894,199797411767.73315
2021-02-09,866928505326.4626,202948336894.3698
2021-02-10,839590396720.4329,200379577036.26373
2021-02-11,892053672305.5281,204687225103.97903
2021-02-12,885248328501.2935,211690130587.81744
2021-02-13,879397542244.0934,208614261139.086
2021-02-14,909642134133.6622,207739316639.36655
2021-02-15,896282713832.7703,205007146439.66272
2021-02-16,915511120381.0225,204238551212.8934
2021-02-17,973022997734.0734,211675637555.24954
2021-02-18,962356492673.0549,221701456777.94485
2021-02-19,1040114403936.8182,225010994525.33276
2021-02-20,1040935228534.2341,219503785857.7216
2021-02-21,1071525228027.2616,221949106743.10928
2021-02-22,1005442646562.8401,203303010201.51175
2021-02-23,905003103158.0413,179430822924.5457
2021-02-24,923816728819.2361,185596249566.608
2021-02-25,886602532433.4716,171253830546.5685
2021-02-26,861734772437.3928,165628679949.21594
2021-02-27,854375146984.0432,166995249129.26526
2021-02-28,845557162612.1532,163724417567.50598
2021-03-01,925288521256.2084,179579378092.03864
2021-03-02,900542565669.1764,171172699837.7689
2021-03-03,945068375223.4532,182015174257.58408
2021-03-04,903761087528.4237,176745451097.51474
2021-03-05,909922405336.2163,175940831397.17633
2021-03-06,913133225105.13,190789331553.2378
2021-03-07,952634973107.2289,197631272542.88275
2021-03-08,971370359588.6669,209952415372.89227
2021-03-09,1020849011792.8512,214105373575.4189
2021-03-10,1046579658341.0731,207391287846.73987
2021-03-11,1078915001902.6392,210208905597.60684
2021-03-12,1069407948747.6105,203422969374.56454
2021-03-13,1143215732518.7434,221704120650.41724
2021-03-14,1117474232904.1155,215625919208.392
2021-03-15,1046930473230.8708,206762944415.37283
2021-03-16,1054059319176.537,206792698648.67688
2021-03-17,1094827655431.3871,209339375192.33493
2021-03-18,1077129119414.3889,205079460267.17673
2021-03-19,1085329605069.3691,208410812272.5141
2021-03-20,1086873922161.5631,208708414792.51788
2021-03-21,1072003269491.2437,205506291532.18893
2021-03-22,1016170477565.7163,194519667400.10217
2021-03-23,1018286990169.8546,192542945083.15662
2021-03-24,981605643201.5552,182789588504.4638
2021-03-25,962090739266.12,183047211490.71204
2021-03-26,1023183245013.2985,195366502669.0227
2021-03-27,1045674049178.2086,197976262837.72992
2021-03-28,1040002658248.1864,194201482642.24466
2021-03-29,1074744167036.5872,208744323029.58218
2021-03-30,1095581166692.6075,212195947097.07883
2021-03-31,1097648506570.546,220982847396.4371
2021-04-01,1098201835461.6189,227276354248.1595
2021-04-02,1102222111989.4219,246078442166.14224
2021-04-03,1069609423123.5428,233546432255.5399
2021-04-04,1086837744784.4451,239600021274.1741
2021-04-05,1097233663848.4355,242181026437.47818
2021-04-06,1084740698496.7766,244213705737.62222
2021-04-07,1050858458013.2948,229069882928.3973
2021-04-08,1082591596128.1455,239845561944.21823
2021-04-09,1084298143058.165,238431251147.0455
2021-04-10,1114237875675.663,245861629814.0504
2021-04-11,1119547961330.9446,247527882407.27594
2021-04-12,1119097619041.5125,247378816146.0744
2021-04-13,1185278789468.1714,265311012016.44638
2021-04-14,1174568449691.4595,280631198940.4492
2021-04-15,1181393313259.5356,290974868301.8915
2021-04-16,1150416986978.1597,280471732562.21674
2021-04-17,1126344072578.019,270548139870.69476
2021-04-18,1053678758609.2681,259179988021.6956
2021-04-19,1042661468497.9923,250560894838.45178
2021-04-20,1055343018461.8728,269065183033.9487
2021-04-21,1009620339154.9825,273198256978.28336
2021-04-22,969605047752.2134,279668865672.6516
2021-04-23,952320874673.5842,272467575525.20456
2021-04-24,939751744133.4487,258564440020.34406
2021-04-25,914880447463.5385,265990952570.61673
2021-04-26,1008308106916.2404,292097657821.71375
2021-04-27,1028613088872.3914,306042981828.6309
2021-04-28,1024181924008.5573,316937218930.9912
2021-04-29,1001410824175.2203,319319623404.8617
2021-04-30,1079500865486.8407,320488373921.462
2021-05-01,1081834705464.8834,341239720548.1778
2021-05-02,1057763322365.5809,341644766468.07385
2021-05-03,1070362250436.1665,397022679801.67285
2021-05-04,1004624064123.3466,379041514762.65717
2021-05-05,1072334244435.8468,408144295381.2857
2021-05-06,1057159380527.9105,405253435916.4331
2021-05-07,1072438910564.6577,403226735702.2348
2021-05-08,1098593174225.6294,450070687070.47955
2021-05-09,1090287204598.6418,453517845754.1314
2021-05-10,1045729267184.1483,457995692214.1882
2021-05-11,1059056066491.1912,481388600303.5072
2021-05-12,953606762907.2689,460560266540.41125
2021-05-13,923653159148.4513,427206186463.12134
2021-05-14,935459104298.8987,473554590654.4991
2021-05-15,880310927346.3748,425618801171.98285
2021-05-16,861161597488.6411,413294498967.8197
2021-05-17,813851735267.469,380211788103.6748
2021-05-18,800731332066.7421,390482238053.91876
2021-05-19,704438836807.3654,294003686331.7096
2021-05-20,763545013579.125,322121691626.41656
2021-05-21,695728769937.6442,279952270727.2266
2021-05-22,704535197246.9867,269181825829.55524
2021-05-23,650860805397.6799,244245212791.9618
2021-05-24,723066857297.3595,304665762380.67554
2021-05-25,716346014295.941,312870946559.48883
2021-05-26,733691994944.9177,332881080273.56323