"miner","count()"
"5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c",23462
"ea674fdde714fd979de3edf0f56aa9716b898ec8",18848
"f20b338752976878754518183873602902360704",9678
"04668ec2f57cc15c381b461b9fedab5d451c8f7f",5557
"1ad91ee08f21be3de0ba2ba6918e714da6b45836",4932
"99c85bb64564d9ef9a99621301f22c9993cb89e3",4375
"b3b7874f13387d44a3398d298b075b7a3505d8d4",3545
"52bc44d5378309ee2abf1539bf71de1b7d7be3b5",3522
"bcc817f057950b0df41206c5d7125e6225cae18e",2515
"00192fb10df37c9fb26829eb2cc623cd1bf599e8",2287
"3ecef08d0e2dad803847e052249bb4f8bff2d5bb",2235
"c8f595e2084db484f8a80109101d58625223b7c9",2016
"d224ca0c819e8e97ba0136b3b95ceff503b79f53",1623
"f541c3cd1d2df407fb9bb52b3489fc2aaeedd97e",1220
"c365c3315cf926351ccaf13fa7d19c8c4058c8e1",1191
"45a36a8e118c37e4c47ef4ab827a7c9e579e11e2",1058
"7f101fe45e6649a6fb8f3f8b43ed03d353f2b90c",1029
"8595dd9e0438640b5e1254f9df579ac12a86865f",989
"2f731c3e8cd264371ffdb635d07c14a6303df52a",962
"6ebaf477f83e055589c1188bcc6ddccd8c9b131a",960
"005e288d713a5fb3d7c9cf1b43810a98688c7223",690
"002e08000acbbae2155fab7ac01929564949070d",613
"1ca43b645886c98d7eb7d27ec16ea59f509cbe1a",374
"2a0eee948fbe9bd4b661adedba57425f753ea0f6",363
"5c23e54fe46ef9181e4403d6e1dbb9aa21c0b185",344
"eea5b82b61424df8020f5fedd81767f2d0d25bfb",276
"06b8c5883ec71bc3f4b332081519f23834c8706e",256
"3f0ee622f9e89df9db62c35cae55d57c56fd56f6",254
"35f61dfb08ada13eba64bf156b80df3d5b3a738d",253
"09ab1303d3ccaf5f018cd511146b07a240c70294",252
"aee98861388af1d6323b95f78adf3dda102a276c",186
"21479eb8cb1a27861c902f07a952b72b10fd53ef",171
"bbbbbbbb49459e69878219f906e73aa325ff2f0c",157
"7777788200b672a42421017f65ede4fc759564c8",146
"4f9bebe3adc3c7f647c0023c60f91ac9dffa52d5",105
"249bdb4499bd7c683664c149276c1d86108e2137",102
"02ad7c55a19e976ec105172a75a9d84dc9cf23c6",75
"e9b54a47e3f401d37798fc4e22f14b78475c2afc",70
"c4aeb20798368c48b27280847e187bb332b9bc77",33
"b1af7a686ff31ab089de7940d345eae3c3350de0",32
"4bb96091ee9d802ed039c4d1a5f6216f90f81b01",27
"52f13e25754d822a3550d0b68fdefe9304d27ae8",23
"a59ea72e4c4f1560467f15298cd83874e9af1c09",22
"6a851246689eb8fc77a9bf68df5860f13f679fa0",21
"15876ecfa976d39c2550b4ef1f528db3bb1083b1",18
"db5575378ef8318f9958be11309f7c30ab4121ad",17
"f3a71cc1be5ce833c471e3f25aa391f9cd56e1aa",15
"01ca8a0ba4a80d12a8fb6e3655688f57b16608cf",11
"e92309ab921409280665f1177b899c8f82ef0692",11
"433022c4066558e7a32d850f02d2da5ca782174d",9
"52e44f279f4203dcf680395379e5f9990a69f13c",8
"776bb566dc299c9e722773d2a04b401e831a6dc8",7
"4c93bfa8f17afcf7576f8182bea1223e1b67c5c5",7
"bc78d75867b04f996ef1050d8090b8ccb91f09af",7
"a65344f7d22ee4382416c088a03000f116a3f0c7",4
"a1b7326d90a4d796ef0992a3fb4ef0702bf372ea",4
"b5fd6219c5ce5fbb6a006d794d78ddc90b269e66",4
"2c814e447678de1414dde98f6d951edf121d16ca",3
"534cb1d3812c92894f051999dd393f1bdbdc6c87",3
"586768fa778e14c4da3efbb76b214061747e3cba",2
"6c3183792fbb4a4dd276451af6baf5c66d5f5e48",2
"d0db3c9cf4029bac5a9ed216cd174cba5dbf047c",2
"df78b2e254b45c1ef20074bec0fa6c4efc8e94f0",2
"63dcd8e107823b7146fe3c53da4f2659121c6fa5",1
"00d38c87fb8c1a0463d24d9c2a324ad6e82a3129",1
"d7ad8e2a17800a2c413f331d334f83f5da8d5dba",1
"d048c4deb4c51f5c4b9c5f11c957af24a084a89c",1
"9f2070efa98cc424012fe182c2c6cc0aff8d12db",1
"f355141c779bdfca95779eecec6a6414e8304f32",1
"f35074bbd0a9aee46f4ea137971feec024ab704e",1
"b6349b0931d0453cec05b0cbe94dde318a0b387f",1
"9c7d68166fd224f8dcb78d5a470658e679de3a8d",1
"5be1bfc0b1f01f32178d46abf70bb5ff5c4e425a",1